1:4,7,6,3,7,5,3,8,5,9,7,2,6,4,1,5,1,2,2,2,6,1,6,7,3,6,8,5,4,9
2:9,5,9,1,7,6,9,9,8,2,6,4,7,8,6,8,5,1,9,5,7,4,8,6,8,6,3,1,5,2
3:3,8,4,4,7,7,4,5,7,3,4,6,5,3,3,1,3,3,3,1,4,1,1,2,8,9,8,5,2,2
4:7,2,2,8,1,8,8,8,8,1,8,2,2,9,8,1,4,6,1,3,4,3,6,7,1,8,4,5,2,9
5:5,5,4,7,3,2,9,4,8,5,1,5,2,6,2,4,6,8,4,5,5,4,7,3,3,8,6,1,7,4
6:6,6,7,9,3,5,8,7,9,1,5,2,1,7,7,4,7,2,5,2,9,8,5,4,3,9,9,9,8,3
7:9,7,9,1,3,2,1,6,6,8,8,1,6,4,5,8,4,8,8,8,8,2,1,8,9,2,3,9,1,2
8:3,3,1,1,1,2,7,3,2,7,9,2,4,7,9,4,8,9,5,5,3,5,4,1,5,9,9,9,6,5
9:2,8,1,3,9,4,7,8,2,4,1,8,8,1,6,5,1,9,7,4,9,1,5,7,5,5,1,7,3,3
10:6,2,1,3,3,2,5,1,8,5,7,2,3,4,6,5,4,2,6,3,9,6,6,8,8,9,2,9,2,7
11:9,2,9,8,9,2,2,3,9,5,8,3,1,4,2,6,6,7,2,5,2,5,8,5,2,1,8,5,4,4
12:5,3,3,7,6,8,6,6,9,4,5,2,3,9,8,3,3,6,8,8,2,8,9,8,5,8,7,9,1,9
13:3,9,3,2,5,8,5,2,1,4,1,5,5,7,3,3,1,1,1,5,4,8,8,5,2,5,1,2,4,4
14:3,8,3,8,8,1,8,2,1,3,8,8,9,4,2,7,6,8,5,1,5,5,6,7,6,8,1,6,8,7
15:7,6,5,4,9,9,7,4,9,8,9,4,4,5,9,1,2,2,3,6,1,1,8,5,8,8,8,6,4,6
16:6,1,6,9,2,4,1,6,2,7,5,3,5,7,4,2,8,4,6,7,5,5,2,5,9,7,8,6,9,1
17:7,5,7,1,1,1,2,6,5,4,5,5,6,2,1,6,4,7,1,7,7,9,4,1,7,8,9,4,4,1
18:2,8,7,2,4,3,3,8,7,3,6,8,1,9,4,8,4,6,6,6,3,8,4,9,8,7,6,6,2,1
19:5,7,6,7,7,2,7,6,9,2,2,3,4,3,3,8,4,5,2,5,3,7,4,2,5,5,3,6,3,3
20:7,5,7,1,1,1,2,6,5,4,5,5,6,2,1,6,4,7,1,7,7,9,4,1,7,8,9,4,4,8
21:7,6,5,4,9,9,7,4,9,8,9,4,4,5,9,1,2,5,3,6,1,1,8,5,8,8,8,6,4,1
22:3,1,4,6,1,5,8,7,2,7,7,3,9,8,6,3,7,8,8,7,1,6,7,3,2,4,6,7,3,1
23:8,9,1,7,1,8,5,4,1,2,6,8,6,1,7,8,6,9,9,5,7,3,5,8,1,1,7,6,7,3
24:8,6,7,8,2,6,7,7,6,5,6,2,4,2,8,5,6,5,5,1,8,7,1,7,8,2,9,4,6,1
25:1,3,5,8,6,4,6,3,7,5,6,3,8,8,3,4,8,1,8,6,8,3,9,1,5,8,9,9,5,7
26:3,9,3,2,5,8,5,2,1,4,1,5,5,5,3,3,1,1,1,5,4,8,8,5,2,5,1,2,4,5
27:5,6,6,3,2,9,7,3,3,1,9,1,5,7,8,4,2,9,3,3,7,3,4,5,3,1,3,8,6,6
28:4,2,4,4,6,3,8,9,9,4,3,4,3,5,5,3,3,7,2,8,1,5,6,3,3,8,4,2,9,6
29:2,7,8,5,2,5,5,1,4,3,8,9,9,7,5,6,9,8,7,3,4,6,3,9,6,6,7,5,5,8
30:2,9,4,4,7,4,7,4,7,4,9,8,2,9,1,5,7,3,5,1,4,3,6,6,8,9,8,7,6,8
31:8,1,2,8,6,3,3,6,7,7,4,8,4,6,3,5,7,1,6,2,4,4,6,4,5,2,7,5,1,3
32:3,7,7,9,6,7,7,7,7,7,4,7,2,1,4,9,5,1,4,8,5,5,6,8,7,4,9,6,5,5
33:2,8,3,9,8,3,4,1,7,3,4,4,9,2,3,7,3,3,9,7,6,6,7,2,5,8,7,7,2,7
34:3,3,1,1,1,2,7,3,2,7,8,2,4,7,9,4,8,9,5,5,3,5,4,1,5,9,9,9,6,5
35:5,6,1,5,5,5,1,2,8,8,5,2,7,8,6,3,1,2,6,2,9,7,8,8,7,2,6,2,9,3
36:5,7,6,7,7,2,7,6,9,2,2,3,4,3,3,8,4,4,2,5,3,7,4,2,5,5,3,6,3,1
37:5,2,4,8,1,1,1,7,7,6,8,6,9,5,5,9,4,4,6,4,3,1,9,8,4,7,2,7,4,6
38:2,3,8,1,8,9,2,1,5,4,2,4,2,7,9,5,3,7,4,7,6,4,3,1,9,5,8,2,7,8
39:4,1,4,2,1,5,3,1,9,8,2,9,1,2,6,8,9,4,3,8,9,5,3,1,2,5,4,3,7,5
40:8,3,5,1,5,4,9,9,3,7,2,7,7,4,2,5,3,5,4,3,2,4,3,7,3,5,2,8,3,8
41:2,8,7,2,4,3,3,8,7,3,6,8,1,9,4,8,4,6,6,6,3,8,4,9,8,7,6,6,2,5
42:8,2,5,4,3,2,4,9,3,1,8,6,1,7,5,7,6,6,4,5,8,6,8,7,8,3,4,5,1,2
43:4,6,1,8,2,8,2,4,6,2,7,3,4,9,9,5,6,8,1,6,4,2,7,1,1,1,5,2,4,3
44:2,3,4,9,5,9,4,4,2,5,7,9,5,5,5,2,1,1,8,3,5,2,2,2,1,2,5,8,6,8
45:3,9,3,3,2,6,1,2,4,3,2,1,6,6,5,3,5,2,3,9,1,4,7,8,9,3,2,4,4,5
46:8,8,1,5,8,1,1,3,5,6,2,5,4,1,2,3,8,3,7,9,9,9,8,4,3,1,4,6,8,1
47:6,3,2,6,2,8,9,3,4,4,8,5,1,6,2,1,7,9,4,4,5,5,4,5,8,6,2,7,8,6
48:2,8,1,2,6,5,1,7,5,8,6,1,8,9,7,4,4,6,9,3,4,8,8,1,6,2,4,1,5,1
49:1,6,6,2,9,6,3,3,5,1,3,9,6,8,8,3,2,9,7,5,7,3,2,3,8,8,8,6,1,2
50:9,3,3,9,3,8,4,7,6,4,3,7,1,6,1,3,6,3,8,5,8,8,3,8,3,7,7,4,4,7
51:2,8,1,3,2,4,7,8,2,4,1,8,8,1,6,5,1,9,7,4,9,1,5,7,5,5,1,7,3,3
52:6,1,2,5,4,8,8,9,4,1,9,3,5,3,2,1,7,1,7,6,7,8,5,6,5,7,9,4,5,1
53:4,1,6,8,8,8,2,9,1,4,4,6,5,1,6,8,8,6,8,6,6,3,2,1,1,8,7,8,8,4
54:2,7,1,3,6,3,7,4,9,9,6,1,2,1,6,3,4,7,4,8,2,8,6,5,4,6,3,6,4,7
55:2,8,6,9,9,9,2,3,8,4,2,4,7,5,6,3,5,6,4,4,7,2,3,6,8,4,8,1,8,2
56:1,3,5,8,6,4,6,3,7,5,6,3,4,8,3,4,8,1,8,6,8,3,9,1,5,8,9,9,5,1
57:4,6,3,2,5,1,5,2,7,5,6,2,5,6,9,2,4,7,5,8,1,5,8,2,4,9,9,4,4,4
58:1,2,5,8,7,2,8,5,1,1,9,2,4,2,8,3,1,5,1,5,2,5,4,6,3,3,8,7,2,9
59:9,2,9,8,9,2,2,3,9,5,8,3,1,4,2,6,6,7,2,5,2,5,8,5,2,1,8,5,4,9
60:9,2,1,8,1,3,1,4,1,1,5,6,5,3,6,2,3,6,1,2,1,8,7,5,7,8,8,4,7,4
61:6,4,9,8,1,9,4,1,1,4,7,2,3,3,8,7,8,3,7,9,3,5,3,1,5,1,3,3,8,3
62:6,3,2,8,5,7,3,3,3,3,6,8,6,5,7,2,3,8,6,8,7,1,9,2,5,7,6,3,8,2
63:7,1,5,2,8,5,3,8,9,9,5,7,8,1,3,5,9,1,1,4,9,1,1,8,1,5,1,7,5,4
64:5,5,9,8,7,9,9,8,9,6,2,7,7,4,1,8,6,7,7,6,1,6,8,3,6,8,6,5,4,6
65:7,8,6,6,9,3,4,6,7,1,9,8,3,6,9,6,6,7,6,2,2,1,8,6,4,4,7,6,4,6
66:5,5,4,7,3,2,9,4,8,5,5,5,2,6,2,4,6,8,4,5,5,4,7,3,3,8,6,1,7,5
67:2,8,9,9,9,9,2,3,8,4,2,4,7,5,6,3,5,6,4,4,7,2,3,6,8,4,8,1,8,2
68:1,2,8,1,3,4,3,9,9,7,1,9,9,9,7,8,7,9,4,9,4,6,4,1,8,6,7,3,2,1
69:7,3,1,7,5,8,7,2,3,6,6,7,1,7,8,2,4,2,8,1,3,9,9,7,3,3,2,4,8,4
70:3,8,6,8,7,7,7,7,8,5,3,3,7,7,6,3,2,3,1,4,5,8,8,1,3,8,3,5,7,3
71:2,5,6,9,4,3,2,5,9,5,8,9,8,3,1,2,3,7,1,9,2,8,1,6,9,7,6,5,4,4
72:4,7,3,3,4,1,1,9,9,4,5,5,8,5,9,5,2,7,6,1,7,9,2,5,2,5,3,7,7,5
73:4,9,1,7,3,8,5,2,9,2,9,5,8,3,8,5,3,3,2,2,1,9,5,2,1,4,1,7,6,6
74:6,5,3,6,6,9,1,4,6,9,1,6,4,6,2,6,4,8,1,1,3,5,4,9,8,3,2,6,7,6
75:4,2,9,5,1,3,3,2,1,9,9,4,2,9,1,3,2,2,9,9,8,9,3,5,7,2,9,3,1,6
76:6,4,7,7,6,3,8,9,6,3,4,4,2,7,6,9,6,6,2,9,3,2,3,6,2,5,5,8,1,9
77:4,6,3,2,5,1,5,2,7,5,6,2,5,6,9,2,4,7,5,8,1,5,8,2,4,9,9,4,4,7
78:4,2,2,1,4,4,2,3,6,2,1,7,6,7,1,8,5,2,7,6,7,6,4,4,6,2,5,1,2,4
79:6,1,2,5,4,8,8,9,4,1,9,3,5,3,2,1,7,1,7,6,7,8,5,6,5,9,9,4,5,1
80:7,6,3,7,7,7,4,6,8,6,4,7,6,6,8,3,9,8,1,3,7,6,2,5,7,9,7,4,8,4
81:4,3,4,2,2,9,2,4,8,2,8,6,4,5,7,4,8,1,9,4,4,1,3,7,6,1,4,3,9,3
82:8,6,1,7,7,6,6,8,1,1,8,5,9,7,8,4,5,2,2,7,2,6,5,8,4,6,9,9,9,6
83:3,6,9,8,8,8,4,2,5,2,1,4,1,2,3,1,4,9,9,9,5,4,4,3,4,2,1,8,5,8
84:7,6,6,3,5,3,5,5,6,8,7,4,1,5,6,5,2,7,6,8,7,3,9,7,8,8,7,5,8,8
85:1,7,7,9,6,7,7,7,7,7,4,7,2,1,4,9,5,1,4,8,5,5,6,8,7,4,9,6,5,5
86:5,6,9,8,6,6,4,5,2,5,5,2,6,1,2,5,6,1,7,1,8,6,3,2,6,8,7,2,9,8
87:3,6,9,8,8,8,4,2,9,2,1,4,1,2,3,1,4,9,9,9,5,4,4,3,4,2,1,8,5,8
88:5,9,1,1,6,4,2,4,6,8,2,3,5,7,8,4,7,9,6,3,2,3,4,9,7,1,5,2,9,6
89:6,2,9,8,5,6,5,4,2,9,8,6,6,5,3,4,4,6,1,1,1,6,2,5,5,7,5,9,4,7
90:9,4,1,8,3,7,3,2,9,8,2,5,9,3,1,6,8,1,6,4,4,7,7,2,7,2,2,9,7,6
91:2,3,5,1,5,5,6,7,9,3,1,6,5,4,7,5,8,5,1,9,4,8,7,1,3,4,9,2,6,2
92:5,9,5,8,7,5,2,8,1,6,5,8,2,8,5,2,5,1,8,7,7,5,1,5,8,6,4,3,6,6
93:7,7,8,3,4,2,6,6,1,4,5,3,7,1,9,4,3,8,8,7,5,3,5,6,1,2,6,7,7,6
94:9,4,4,9,9,9,5,6,3,5,7,7,1,8,4,4,3,6,9,2,7,2,2,8,6,1,5,4,1,6
95:5,6,6,3,2,9,7,3,8,1,9,1,5,7,8,4,2,9,3,3,7,3,4,5,3,1,3,8,6,2
96:5,5,1,3,4,3,7,6,8,1,8,5,8,8,3,9,6,1,8,2,7,7,2,9,9,1,2,5,4,1
97:4,4,4,7,9,4,9,1,4,8,7,5,6,6,3,9,4,2,7,5,3,3,6,2,5,4,4,4,4,9
98:1,6,9,6,1,8,7,7,4,6,3,9,9,8,8,7,5,1,6,4,6,2,2,2,5,7,9,2,2,3
99:1,2,7,1,7,2,7,7,8,9,5,6,4,9,9,4,4,5,4,9,8,3,4,1,9,3,6,2,5,4
100:7,7,8,5,2,4,6,1,7,2,8,6,7,2,4,7,3,1,3,8,7,4,8,5,1,3,2,6,4,4
101:3,1,3,8,8,1,8,2,1,3,8,8,9,4,2,7,6,8,5,1,5,5,6,7,6,8,1,6,8,1
102:2,7,7,5,8,9,7,8,4,6,7,6,2,1,9,4,1,4,6,5,5,9,8,7,6,6,8,5,9,4
103:5,3,4,7,6,8,6,6,9,4,5,2,3,9,8,3,3,6,8,8,2,8,9,8,5,8,7,9,1,2
104:9,5,9,1,7,6,9,9,8,2,6,4,7,8,6,8,5,1,9,5,7,4,8,6,8,6,3,1,5,3
105:4,6,9,3,6,6,4,7,7,3,7,5,7,1,8,6,7,9,4,8,4,3,4,9,4,3,1,6,3,5
106:2,5,5,9,3,4,4,1,4,9,1,7,8,4,7,2,8,8,9,7,1,1,6,7,5,2,9,3,8,9
107:7,8,7,5,4,2,8,4,2,5,6,9,4,6,2,9,4,6,4,1,8,9,2,9,9,2,4,2,6,7
108:6,6,7,9,3,5,5,7,9,1,5,2,1,7,7,4,7,2,5,2,9,8,5,4,3,9,9,9,8,4
109:6,8,8,8,4,2,8,1,4,4,3,9,7,8,1,1,8,8,9,7,5,3,3,6,2,8,8,7,7,5
110:7,5,1,3,4,3,7,6,8,1,8,5,8,8,3,9,6,1,8,2,7,7,2,9,9,1,2,5,4,2
111:2,7,1,3,6,3,7,4,9,9,6,1,2,1,6,3,4,7,4,8,2,8,6,5,4,6,3,8,4,7
112:6,1,8,4,8,1,1,9,7,1,4,6,4,9,4,6,4,6,7,6,4,7,5,3,6,3,8,8,2,3
113:9,4,1,8,3,7,3,2,5,8,2,5,9,3,1,6,8,1,6,4,4,7,7,2,7,2,2,9,7,6
114:1,1,9,7,2,8,7,8,9,3,3,6,3,2,5,2,8,2,6,6,9,6,7,3,4,6,3,4,6,9
115:1,4,3,2,2,3,4,3,1,5,1,9,5,1,7,4,3,7,9,3,5,4,2,9,9,3,3,1,2,9
116:5,7,9,6,9,6,8,8,8,8,4,8,9,3,6,8,2,3,3,7,4,9,8,7,7,7,5,6,6,4
117:3,8,2,8,6,4,1,9,6,6,2,2,1,3,8,3,9,4,7,5,8,2,1,1,8,9,4,2,8,9
118:6,5,3,6,6,9,1,4,6,9,1,6,4,6,2,6,4,8,1,1,3,5,4,9,8,3,2,6,7,1
119:1,1,9,7,2,8,7,8,9,3,3,6,3,2,5,2,8,2,6,6,9,6,7,3,4,6,3,4,6,7
120:5,2,6,4,1,5,2,7,6,1,3,1,2,4,6,8,4,2,6,8,9,7,6,3,7,3,8,4,2,8
121:8,8,5,3,4,2,9,8,6,5,6,6,8,6,6,5,6,7,5,9,5,7,9,5,7,2,6,7,4,1
122:2,7,7,5,8,9,7,8,4,6,7,6,2,1,9,4,1,4,6,5,5,9,8,7,6,6,8,5,9,6
123:5,5,8,9,8,7,1,3,1,9,4,5,2,4,1,1,8,1,9,1,9,5,6,5,2,6,2,2,8,9
124:5,9,4,4,5,3,7,1,9,4,8,3,7,8,1,6,8,3,2,5,2,2,6,1,5,9,2,9,1,5
125:4,6,1,8,2,8,2,4,6,2,7,3,4,9,9,5,6,8,1,6,4,2,7,1,1,1,5,2,4,7
126:8,4,6,6,1,4,3,3,9,8,3,9,3,4,7,3,6,8,5,8,1,2,9,3,8,4,4,9,3,8
127:6,2,7,6,1,9,1,5,5,5,6,1,4,5,4,2,7,7,8,7,3,3,3,3,1,8,6,4,8,8
128:5,5,1,8,5,2,3,2,5,4,2,3,3,4,6,5,3,9,4,2,4,1,6,5,9,4,9,3,8,1
129:8,5,9,6,7,5,9,1,7,7,3,2,2,3,3,7,1,6,9,5,2,7,7,2,5,4,2,8,3,2
130:9,1,5,5,8,6,9,7,9,8,8,6,1,5,1,6,3,7,8,2,5,7,2,8,8,2,2,1,5,7
131:4,3,4,4,3,5,6,3,9,6,8,7,9,3,1,8,9,3,9,5,2,2,5,6,5,8,3,8,9,2
132:8,9,3,4,1,4,3,4,2,7,4,4,5,5,8,8,3,8,1,1,6,2,2,8,3,3,7,7,2,6
133:2,7,5,1,6,2,5,9,4,9,1,8,2,8,4,5,1,4,2,5,7,3,7,1,9,9,4,4,5,1
134:7,5,3,1,5,8,6,1,5,3,2,7,4,9,1,8,4,7,8,8,2,3,2,4,1,8,4,1,9,1
135:1,5,1,6,4,5,7,5,3,4,8,1,5,6,5,5,6,6,8,2,2,1,2,5,4,2,7,1,5,9
136:9,1,6,2,1,2,4,5,2,2,2,5,7,5,6,1,5,2,3,8,9,5,6,8,6,4,8,9,8,3
137:3,1,3,2,7,1,1,5,8,9,6,1,3,2,8,8,6,7,8,2,7,4,1,9,9,5,2,3,4,4
138:2,7,9,4,3,5,7,3,4,1,6,4,3,4,6,8,9,7,4,1,2,3,1,7,9,1,7,3,7,8
139:2,1,2,5,7,4,3,4,1,1,3,1,9,2,7,6,9,8,8,2,4,6,4,1,2,4,1,9,3,8
140:6,9,2,9,9,9,5,2,6,6,1,8,5,2,3,2,5,9,2,7,4,5,8,6,7,6,1,4,8,4
141:8,6,2,9,2,8,1,7,7,6,5,5,5,6,1,7,2,9,9,9,4,8,7,2,4,9,9,7,9,5
142:6,1,6,9,2,4,1,6,2,7,5,3,5,7,4,2,8,4,6,5,5,5,2,5,9,7,8,6,9,1
143:7,1,2,7,2,7,1,5,3,8,7,8,5,9,5,9,7,7,2,1,8,2,3,8,7,5,4,3,5,9
144:7,1,9,7,9,3,9,9,3,5,3,6,1,1,8,5,9,5,7,8,5,7,1,9,5,3,8,2,7,5
145:2,5,3,8,4,1,5,2,5,7,1,8,3,9,9,9,9,7,4,3,4,8,9,1,2,3,8,9,3,3
146:9,9,7,3,2,7,5,8,5,7,4,1,2,8,5,1,6,5,5,8,5,6,5,1,8,7,1,3,3,8
147:1,5,1,2,2,1,3,3,9,8,4,1,2,6,8,3,8,5,7,2,5,6,8,7,1,5,7,4,9,9
148:8,3,1,3,1,6,4,6,8,5,4,9,4,8,4,3,5,4,1,7,2,5,1,2,9,3,7,4,3,2
149:8,6,7,8,2,7,7,7,6,5,6,2,4,2,8,5,6,5,5,1,8,7,1,7,8,2,9,4,6,6
150:1,3,5,8,6,4,6,3,7,5,6,3,4,8,3,4,8,1,8,6,8,3,9,1,5,8,9,9,5,7
151:7,8,7,5,4,2,8,4,2,5,6,9,4,6,2,9,4,6,4,1,8,9,2,9,9,2,4,2,6,7
152:4,2,4,4,6,3,8,9,9,4,3,4,3,5,5,3,3,7,2,2,1,5,6,3,3,8,4,2,9,6
153:5,5,7,7,8,2,9,7,3,9,2,5,9,3,1,7,8,1,6,2,7,4,6,9,6,2,7,5,1,1
154:4,1,7,3,2,4,2,8,4,5,5,3,1,7,3,8,9,6,2,2,1,1,6,4,4,8,5,4,9,8
155:1,1,9,7,2,8,7,8,9,3,3,6,3,2,4,2,8,2,6,6,9,6,7,3,4,6,3,4,6,7
156:8,2,4,9,6,3,3,7,6,1,8,2,8,8,6,5,9,5,8,4,9,2,7,6,7,9,3,4,4,7
157:4,4,8,1,8,9,4,9,6,2,9,7,7,9,8,9,9,7,1,9,4,7,6,7,1,1,1,8,2,9
158:7,9,7,4,9,8,9,5,9,2,2,3,6,1,6,6,3,6,8,2,8,2,3,2,2,8,2,6,5,9
159:5,9,4,4,5,3,7,1,9,4,8,3,7,8,1,6,8,3,2,5,2,2,6,2,5,9,2,9,1,5
160:4,1,7,3,7,7,4,5,9,1,1,9,2,4,3,9,5,6,8,7,4,1,3,1,1,2,6,2,1,7
161:9,8,6,2,6,6,4,1,2,7,6,7,9,4,5,7,6,8,4,2,1,8,8,8,8,1,3,8,8,9
162:7,6,5,5,6,2,2,4,1,2,8,1,8,7,9,9,2,1,9,4,6,5,5,2,6,4,5,8,2,2
163:5,5,1,8,5,2,3,2,5,4,2,3,3,4,6,5,3,9,4,2,4,1,6,5,9,4,9,3,8,1
164:5,6,9,1,6,4,5,4,9,7,7,4,4,3,4,3,4,7,4,3,9,8,7,2,7,3,3,7,5,6
165:3,5,3,9,9,4,8,2,1,9,5,1,6,2,3,1,4,6,7,8,4,5,6,1,2,8,5,4,2,1
166:3,9,3,2,5,8,5,2,1,4,1,5,5,5,3,3,1,1,1,5,4,8,8,5,2,5,1,2,4,4
167:1,6,3,5,9,6,6,1,8,7,9,5,6,9,4,5,8,4,2,7,8,6,8,6,5,1,3,6,4,5
168:5,7,6,6,6,8,2,3,4,1,3,4,7,9,4,6,9,2,2,3,7,6,1,3,9,9,6,5,6,7
169:3,4,3,5,8,9,9,3,9,2,3,8,5,8,5,2,4,6,8,5,4,8,2,8,8,3,7,8,3,3
